    1024 ,      1 ,       0.66
    1024 ,      4 ,       0.52
    1024 ,     16 ,       0.55
    1024 ,     64 ,       0.37
    1024 ,    256 ,       0.58
    4096 ,      1 ,       2.97
    4096 ,      4 ,       2.68
    4096 ,     16 ,       3.68
    4096 ,     64 ,       4.03
    4096 ,    256 ,       3.00
   16384 ,      1 ,      22.74
   16384 ,      4 ,      37.72
   16384 ,     16 ,      23.40
   16384 ,     64 ,      41.38
   16384 ,    256 ,      33.46
   65536 ,      1 ,      97.39
   65536 ,      4 ,     163.99
   65536 ,     16 ,     168.21
   65536 ,     64 ,     265.88
   65536 ,    256 ,     187.04
  262144 ,      1 ,     170.06
  262144 ,      4 ,     378.94
  262144 ,     16 ,     390.83
  262144 ,     64 ,     698.25
  262144 ,    256 ,     547.24
 1048576 ,      1 ,     447.27
 1048576 ,      4 ,    1520.02
 1048576 ,     16 ,    2339.57
 1048576 ,     64 ,    4521.65
 1048576 ,    256 ,    4362.76
