Arraysize,Number if threads,performanceMult,Performance_MultSUm
        1024,           1,  8.21,  8.01
        2048,           1,  8.44,  8.32
        4096,           1,  7.95,  8.38
        8192,           1,  7.97,  8.18
       16384,           1,  7.86,  8.21
       32768,           1,  6.67,  8.13
       65536,           1,  6.50,  8.12
      131072,           1,  6.01,  8.13
      262144,           1,  6.09,  4.48
      524288,           1, 10.21,  8.19
     1048576,           1,  2.83,  7.16
     2097152,           1,  2.63,  4.61
     4194304,           1,  3.28,  4.79
     8388608,           1,  3.49,  5.12
        1024,           2,  7.85,  8.01
        2048,           2,  8.45,  8.30
        4096,           2,  7.60,  8.03
        8192,           2,  8.02,  8.18
       16384,           2,  7.68,  8.15
       32768,           2,  6.21,  8.05
       65536,           2,  6.02,  7.97
      131072,           2,  6.51,  8.13
      262144,           2,  6.00,  8.33
      524288,           2,  3.69,  5.06
     1048576,           2,  2.32,  3.13
     2097152,           2,  1.94,  3.58
     4194304,           2,  3.04,  4.73
     8388608,           2,  3.06,  4.45
        1024,           4,  8.29,  8.03
        2048,           4,  8.45,  8.69
        4096,           4,  7.94,  8.03
        8192,           4,  7.92,  8.14
       16384,           4,  7.80,  8.14
       32768,           4,  6.45,  4.25
       65536,           4,  6.43,  8.00
      131072,           4,  6.48,  8.14
      262144,           4,  5.91,  8.33
      524288,           4,  6.35,  7.94
     1048576,           4,  3.11,  3.78
     2097152,           4,  2.68,  4.43
     4194304,           4,  2.45,  3.56
     8388608,           4,  3.29,  4.63
        1024,           8,  7.07,  8.03
        2048,           8,  8.43,  8.33
        4096,           8,  8.00,  8.39
        8192,           8,  7.83,  8.16
       16384,           8,  7.72,  8.09
       32768,           8,  6.33,  7.93
       65536,           8,  6.43,  8.00
      131072,           8,  6.18,  6.75
      262144,           8,  6.28,  5.12
      524288,           8,  6.48,  4.87
     1048576,           8,  1.83,  4.49
     2097152,           8,  2.30,  4.34
     4194304,           8,  2.24,  4.19
     8388608,           8,  2.75,  3.77
        1024,          16,  8.24,  8.01
        2048,          16,  8.43,  8.34
        4096,          16,  7.94,  8.39
        8192,          16,  7.91,  8.10
       16384,          16,  7.95,  8.17
       32768,          16,  6.84,  7.43
       65536,          16,  6.50,  8.06
      131072,          16,  6.51,  8.10
      262144,          16,  6.20,  8.13
      524288,          16,  6.08,  4.38
     1048576,          16,  2.93,  7.78
     2097152,          16,  2.30,  4.77
     4194304,          16,  2.01,  4.13
     8388608,          16,  2.75,  4.14
