Arraysize,Number if threads,performanceMult,Performance_MultSUm
        1024,           1,  8.22,  8.01
        2048,           1,  8.43,  8.32
        4096,           1,  7.98,  8.36
        8192,           1,  7.92,  8.18
       16384,           1,  8.01,  8.21
       32768,           1,  6.68,  8.10
       65536,           1,  6.52,  8.16
      131072,           1,  6.52,  8.19
      262144,           1,  6.45,  8.20
      524288,           1,  6.47,  7.98
     1048576,           1,  5.25,  4.17
     2097152,           1,  4.75,  6.67
     4194304,           1,  3.75,  6.00
     8388608,           1,  3.83,  6.06
        1024,           2,  8.25,  8.01
        2048,           2,  8.40,  8.32
        4096,           2,  7.95,  8.37
        8192,           2,  7.97,  8.19
       16384,           2,  7.79,  8.16
       32768,           2,  6.83,  8.11
       65536,           2,  6.50,  8.16
      131072,           2,  6.54,  8.18
      262144,           2,  6.49,  8.18
      524288,           2,  6.46,  7.97
     1048576,           2,  3.08,  7.84
     2097152,           2,  3.81,  6.49
     4194304,           2,  3.77,  6.09
     8388608,           2,  3.74,  5.96
        1024,           4,  8.14,  7.97
        2048,           4,  8.44,  8.32
        4096,           4,  8.00,  8.36
        8192,           4,  8.03,  8.16
       16384,           4,  7.92,  8.18
       32768,           4,  6.75,  8.12
       65536,           4,  6.50,  8.15
      131072,           4,  6.54,  8.17
      262144,           4,  6.45,  8.18
      524288,           4,  6.45,  7.95
     1048576,           4,  5.19,  7.86
     2097152,           4,  3.89,  6.57
     4194304,           4,  2.75,  3.73
     8388608,           4,  3.76,  5.89
        1024,           8,  8.18,  8.04
        2048,           8,  8.41,  8.30
        4096,           8,  7.90,  8.39
        8192,           8,  8.03,  8.17
       16384,           8,  7.98,  8.19
       32768,           8,  6.82,  8.11
       65536,           8,  6.53,  8.14
      131072,           8,  6.52,  6.40
      262144,           8,  6.49,  8.83
      524288,           8,  5.95,  8.20
     1048576,           8,  4.24,  7.35
     2097152,           8,  3.89,  6.50
     4194304,           8,  2.27,  6.05
     8388608,           8,  3.74,  5.94
        1024,          16,  8.18,  8.01
        2048,          16,  8.44,  8.32
        4096,          16,  7.97,  8.37
        8192,          16,  8.02,  8.13
       16384,          16,  7.81,  8.13
       32768,          16,  6.95,  8.14
       65536,          16,  6.10,  8.03
      131072,          16,  6.14,  8.01
      262144,          16,  6.48,  8.18
      524288,          16,  6.45,  7.97
     1048576,          16,  5.15,  4.11
     2097152,          16,  3.81,  4.26
     4194304,          16,  3.73,  4.37
     8388608,          16,  3.79,  6.01
        1024,          32,  8.22,  8.01
        2048,          32,  8.43,  8.32
        4096,          32,  8.40,  8.29
        8192,          32,  7.64,  8.21
       16384,          32,  7.60,  8.16
       32768,          32,  6.44,  7.98
       65536,          32,  5.93,  8.01
      131072,          32,  6.21,  8.01
      262144,          32,  5.86,  8.00
      524288,          32,  4.40,  5.43
     1048576,          32,  4.11,  7.27
     2097152,          32,  3.30,  4.79
     4194304,          32,  2.94,  6.07
     8388608,          32,  3.38,  5.47
